feature,coeficiente,odds_ratio,abs_coeficiente
nascimento_match,9.368914370440692,11718.386352765807,9.368914370440692
documento_match,4.130706578215426,62.2218720254935,4.130706578215426
nascimento_observado,-3.749940066912747,0.02351915538936191,3.749940066912747
local_match,3.6120813223677057,37.043071209642704,3.6120813223677057
local_observado,-2.214675913335812,0.10918889517971554,2.214675913335812
nome_score,-1.9606956363837995,0.1407604687519841,1.9606956363837995
nacionalidade_match,1.8974532922264395,6.6688890859574785,1.8974532922264395
documento_observado,-1.1589221285290303,0.3138242608641735,1.1589221285290303
cidadania_match,0.6363084002565602,1.8894927376246324,0.6363084002565602
nacionalidade_observada,-0.5814911903808788,0.559064073706251,0.5814911903808788
cidadania_observada,0.30093711691597397,1.3511243759989304,0.30093711691597397
